#Kraus,I +2007 The Astronomical Journal, Volume 134, Issue 6, pp. 2340-2352 (2007).
#m_r m_J m_H m_K Teff
-0.04 0.01 0.10 0.11 11900
0.72 0.54 0.58 0.56 9520
1.39 1.12 1.15 1.12 8970
1.95 1.53 1.52 1.48 8200
2.23 1.75 1.71 1.66 7580
2.68 2.10 2.01 1.96 7200
2.96 2.32 2.20 2.14 6890
3.68 2.85 2.67 2.61 6440
4.29 3.31 3.08 3.01 6200
4.52 3.53 3.27 3.20 6030
4.65 3.64 3.38 3.30 5860
4.92 3.86 3.56 3.48 5770
5.77 4.49 4.10 4.00 5250
6.23 4.80 4.35 4.24 4900
7.45 5.46 4.85 4.70 4060
9.76 6.73 6.09 5.86 3510
13.67 9.08 8.47 8.16 3010
14.99 10.15 9.50 9.16 2840
17.60 11.19 10.46 10.03 2600
18.48 11.76 10.96 10.44 2200
